Address,Price,Beds,Baths,Days Listed,Type,Agent,Agency,URL
"19-21 Pond St, Watertown, MA 02472","$999,900",4,2,4 days,Multi-Family (2-4 Unit),Ellen Bartnicki, • RE/MAX Encore ,https://www.redfin.com/MA/Watertown/19-Pond-St-02472/home/11683482
"15 Partridge, Watertown, MA 02472","$1,095,000",3,2.5,5 days,Single Family Residential,Bob Airasian, • Coldwell Banker Realty - Belmont ,https://www.redfin.com/MA/Watertown/15-Partridge-St-02472/home/11693800
"131 Coolidge Ave #421, Watertown, MA 02472","$389,000",1,1,5 days,Condo,Kathleen Alexander - Creative Living Te, • Keller Williams Realty Boston-Metro | Back Bay ,https://www.redfin.com/MA/Watertown/131-Coolidge-Ave-02472/unit-421/home/11702438
"197 Boylston St #197, Watertown, MA 02472","$719,000",2,2,6 days,Condo,Bob Airasian, • Coldwell Banker Realty - Belmont ,https://www.redfin.com/MA/Watertown/197-Boylston-St-02472/unit-197/home/183737326
"23-21 Conant Rd #21, Watertown, MA 02472","$1,695,000",4,4,6 days,Townhouse,Ari Koufos, • Realty Executives ,https://www.redfin.com/MA/Watertown/23-Conant-Rd-02472/unit-21/home/183735194
"804 Belmont St #1, Watertown, MA 02472","$1,399,000",3,2.5,12 days,Single Family Residential,Cutter Luxe Living, • Compass ,https://www.redfin.com/MA/Watertown/804-Belmont-St-02472/unit-1/home/182190718
"194 Lexington St #1, Watertown, MA 02472","$369,900",2,1,17 days,Condo,Lori Orchanian, • Coldwell Banker Realty - Belmont ,https://www.redfin.com/MA/Watertown/194-Lexington-St-02472/unit-1/home/11690433
"51 Quirk St #1, Watertown, MA 02472","$1,075,000",3,3.5,31 days,Townhouse,Mike DelRose Real Estate Team, • RE/MAX Revolution ,https://www.redfin.com/MA/Watertown/51-Quirk-St-02472/unit-1/home/183377855
"122-124 Spruce St #124, Watertown, MA 02472","$785,000",4,2,32 days,Condo,Jennifer Stein," • HomeLister, Inc. ",https://www.redfin.com/MA/Watertown/122-Spruce-St-02472/unit-124/home/183367331
"41 Charles #2, Watertown, MA 02472","$715,000",3,2,39 days,Condo,Kerrianne Ciccone, • William Raveis R. E. & Home Services ,https://www.redfin.com/MA/Watertown/41-Charles-St-02472/unit-2/home/183235196
"70 Springfield St, Watertown, MA 02472","$1,749,000",4,2.5,40 days,Single Family Residential,Magali Muller, • Coldwell Banker Realty - Belmont ,https://www.redfin.com/MA/Watertown/70-Springfield-St-02472/home/11685882
